num_legs,probability,avg_edge,payout,legs
2,0.3203280158882696,2.7,3.1218,Bennedict Mathurin Alternate Points (Over/Under) 7.5 @ 1.29; Myles Turner Alternate Rebounds (Over/Under) 5.5 @ 2.42
5,0.2935833047207044,5.0200000000000005,3.4061882400000005,Myles Turner Alternate Points (Over/Under) 9.5 @ 1.3; Bennedict Mathurin Alternate Points (Over/Under) 7.5 @ 1.29; Pascal Siakam Alternate Points (Over/Under) 15.5 @ 1.24; Aaron Nesmith Alternate Points (Over/Under) 7.5 @ 1.3; Shai Gilgeous-Alexander Alternate Points (Over/Under) 27.5 @ 1.26
5,0.30068647925960884,4.5200000000000005,3.3257231999999997,Myles Turner Alternate Points (Over/Under) 9.5 @ 1.29; T.J. McConnell Alternate Points (Over/Under) 6.5 @ 1.28; Chet Holmgren Alternate Points (Over/Under) 11.5 @ 1.23; Obi Toppin Alternate Points (Over/Under) 6.5 @ 1.25; Pascal Siakam Alternate Points (Over/Under) 16.5 @ 1.31
5,0.2181914716707376,3.9400000000000004,4.583130552,Myles Turner Alternate Points (Over/Under) 10.5 @ 1.41; Bennedict Mathurin Alternate Points (Over/Under) 8.5 @ 1.4; Aaron Nesmith Alternate Points (Over/Under) 8.5 @ 1.43; Shai Gilgeous-Alexander Alternate Points (Over/Under) 28.5 @ 1.32; Isaiah Hartenstein Alternate Points (Over/Under) 2.5 @ 1.23
5,0.21350717498821095,3.5200000000000005,4.683683347200001,T.J. McConnell Alternate Points (Over/Under) 7.5 @ 1.38; Luguentz Dort Alternate Points (Over/Under) 5.5 @ 1.34; Myles Turner Alternate Points (Over/Under) 11.5 @ 1.56; Jalen Williams Alternate Points (Over/Under) 17.5 @ 1.23; Tyrese Haliburton Alternate Points (Over/Under) 9.5 @ 1.32
5,0.22506105231166054,3.22,4.4432388000000005,Aaron Wiggins Alternate Points (Over/Under) 2.5 @ 1.25; Chet Holmgren Alternate Points (Over/Under) 12.5 @ 1.32; Obi Toppin Alternate Points (Over/Under) 7.5 @ 1.37; Andrew Nembhard Alternate Points (Over/Under) 7.5 @ 1.26; Bennedict Mathurin Alternate Points (Over/Under) 9.5 @ 1.56
5,0.16551581895690903,2.8800000000000003,6.041718587999999,Pascal Siakam Alternate Points (Over/Under) 17.5 @ 1.41; Bennedict Mathurin Alternate Points (Over/Under) 9.5 @ 1.55; Aaron Nesmith Alternate Points (Over/Under) 9.5 @ 1.57; Isaiah Hartenstein Alternate Rebounds (Over/Under) 4.5 @ 1.24; Shai Gilgeous-Alexander Alternate Points (Over/Under) 29.5 @ 1.42
5,0.1469374002701775,2.7000000000000006,6.8056192511999996,Aaron Nesmith Alternate Points (Over/Under) 9.5 @ 1.59; Shai Gilgeous-Alexander Alternate Points (Over/Under) 29.5 @ 1.41; Cason Wallace Alternate Points (Over/Under) 2.5 @ 1.28; T.J. McConnell Alternate Points (Over/Under) 8.5 @ 1.54; Luguentz Dort Alternate Points (Over/Under) 6.5 @ 1.54
5,0.13496544659552762,2.5,7.409303827200001,Isaiah Hartenstein Alternate Points (Over/Under) 3.5 @ 1.36; Myles Turner Player Points (Over/Under) 12.5 @ 1.78; Myles Turner Alternate Points (Over/Under) 12.5 @ 1.77; Jalen Williams Alternate Points (Over/Under) 18.5 @ 1.31; Myles Turner Alternate Rebounds (Over/Under) 3.5 @ 1.32
5,0.19767849281539304,2.3,5.058719265599999,Myles Turner Alternate Rebounds (Over/Under) 3.5 @ 1.31; Aaron Wiggins Alternate Points (Over/Under) 3.5 @ 1.41; Chet Holmgren Alternate Points (Over/Under) 13.5 @ 1.43; Shai Gilgeous-Alexander Alternate Rebounds (Over/Under) 3.5 @ 1.26; Obi Toppin Alternate Points (Over/Under) 8.5 @ 1.52
5,0.10479934344703676,2.02,9.542044511999999,Andrew Nembhard Alternate Points (Over/Under) 8.5 @ 1.4; T.J. McConnell Alternate Assists (Over/Under) 3.5 @ 1.43; Bennedict Mathurin Alternate Points (Over/Under) 10.5 @ 1.76; Pascal Siakam Alternate Points (Over/Under) 18.5 @ 1.53; Aaron Nesmith Alternate Points (Over/Under) 10.5 @ 1.77
